location,median_age,aged_65_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,happiness_score,Kmeans_clusters,Hr_predicted_clusters
Samoa,22.0,5.606,6021.557,2.3555555555555556,73.32,0.713,5.446964285714285,3,2
San Marino,30.9,8.696,56861.47,2.3555555555555556,84.97,0.7088688524590167,5.446964285714285,2,0
Sao Tome and Principe,18.7,2.886,3052.7140000000004,32.3,70.39,0.589,5.051238095238095,3,3
Saudi Arabia,31.9,3.295,49045.41099999999,0.6074074074074072,75.13,0.853,6.406000000000001,2,0
Senegal,18.7,3.008,2470.58,38.0,67.94,0.505,4.981,0,1
Serbia,41.2,17.366,14048.881000000001,2.3555555555555556,76.0,0.787,5.778,2,2
Seychelles,36.2,8.606,26382.287,1.1,73.4,0.797,5.446964285714285,2,2
Sierra Leone,19.1,2.5380000000000003,1390.3,52.2,54.7,0.419,3.926,0,1
Singapore,42.4,12.922,85535.383,0.6074074074074072,83.62,0.932,6.377000000000001,1,0
Slovakia,41.2,15.07,30155.152000000002,0.7,77.54,0.855,6.281000000000001,1,0
Slovenia,44.5,19.062,31400.84,0.6074074074074072,81.32,0.8959999999999999,6.3629999999999995,1,0
Solomon Islands,20.8,3.5069999999999997,2205.923,25.1,73.0,0.546,5.051238095238095,3,3
Somalia,16.8,2.7310000000000003,15728.671422535215,2.3555555555555556,57.4,0.7088688524590167,5.446964285714285,3,3
South Africa,27.3,5.343999999999999,12294.876,18.9,64.13,0.6990000000000001,4.814,3,3
South Korea,43.4,13.914000000000001,35938.373999999996,0.2,83.03,0.903,5.872000000000001,1,0
South Sudan,19.2,3.4410000000000003,1569.888,42.81785714285714,57.85,0.38799999999999996,2.8169999999999997,0,1
Spain,45.5,19.436,34272.36,1.0,83.56,0.8909999999999999,6.401,1,0
Sri Lanka,34.1,10.068999999999999,11669.077,0.7,76.98,0.77,4.327,2,2
Sudan,19.7,3.548,4466.5070000000005,42.81785714285714,65.31,0.502,4.151666666666666,0,1
Suriname,29.6,6.933,13767.118999999999,2.3555555555555556,71.68,0.72,5.446964285714285,2,2
Sweden,41.0,19.985,46949.282999999996,0.5,82.8,0.9329999999999999,7.353,1,0
Switzerland,43.1,18.436,57410.166,0.6074074074074072,83.78,0.9440000000000001,7.56,1,0
Syria,21.7,8.696,1922.9558857142854,42.81785714285714,72.7,0.536,4.151666666666666,0,3
Taiwan,42.2,8.696,15728.671422535215,2.3555555555555556,80.46,0.7088688524590167,6.455,2,2
Tajikistan,23.3,3.466,2896.913,4.8,71.1,0.65,5.556,3,2
Tanzania,17.7,3.108,2683.304,49.1,65.46,0.5379999999999999,3.4760000000000004,0,1
Thailand,40.1,11.373,16277.671,0.1,77.15,0.755,5.999,2,2
Timor,18.0,3.556,6570.102,30.3,69.5,0.625,5.051238095238095,3,3
Togo,19.4,2.839,1429.8129999999999,49.2,61.04,0.503,4.187,0,1
Trinidad and Tobago,36.2,10.014,28763.071,2.3555555555555556,73.51,0.784,6.192,2,2
Tunisia,32.7,8.001,10849.296999999999,2.0,76.7,0.735,4.3919999999999995,2,2
Turkey,31.6,8.152999999999999,25129.341,0.2,77.69,0.7909999999999999,5.132000000000001,2,2
Uganda,16.4,2.168,1697.707,41.6,63.37,0.516,4.4319999999999995,0,1
Ukraine,41.4,16.462,7894.393,0.1,72.06,0.7509999999999999,4.561,2,2
United Arab Emirates,34.0,1.1440000000000001,67293.483,0.6074074074074072,77.97,0.863,6.791,1,0
United Kingdom,40.8,18.517,39753.244,0.2,81.32,0.922,7.165,1,0
United States,38.3,15.413,54225.445999999996,1.2,78.86,0.924,6.94,1,0
Uruguay,35.6,14.655,20551.409,0.1,77.91,0.804,6.44,2,2
Uzbekistan,28.2,4.468999999999999,6253.104,2.3555555555555556,71.72,0.71,6.257999999999999,3,2
Vanuatu,23.1,4.394,2921.909,13.2,70.47,0.603,5.051238095238095,3,3
Vatican,30.9,8.696,15728.671422535215,2.3555555555555556,75.12,0.7088688524590167,5.446964285714285,2,2
Venezuela,29.0,6.614,16745.022,2.3555555555555556,72.06,0.7609999999999999,5.053,2,2
Vietnam,32.6,7.15,6171.884,2.0,75.4,0.6940000000000001,5.353,2,2
World,30.9,8.696,15469.207,10.0,72.58,0.7088688524590167,5.446964285714285,2,2
Yemen,20.3,2.9219999999999997,1479.1470000000002,18.8,66.12,0.452,3.5269999999999997,0,1
Zambia,17.7,2.48,3689.2509999999997,57.5,63.89,0.588,3.759,0,1
Zimbabwe,19.6,2.822,1899.775,21.4,61.49,0.535,3.299,0,1
